epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,109.256,0.61714,0.52093,1.12545,0.98835,1,0.995,0.84339,0.70519,0.5231,1.1542,0.000468992,0.000468992,0.000468992
66,110.951,0.67214,0.522,1.18457,0.99898,1,0.995,0.8437,0.68228,0.5135,1.14702,0.00046345,0.00046345,0.00046345
67,112.584,0.65609,0.51675,1.15052,0.99898,1,0.995,0.8437,0.68228,0.5135,1.14702,0.000457512,0.000457512,0.000457512
68,114.144,0.63372,0.49386,1.17592,0.99898,1,0.995,0.8437,0.68228,0.5135,1.14702,0.000451178,0.000451178,0.000451178
69,115.738,0.67305,0.50132,1.14304,1,0.98578,0.995,0.85807,0.68138,0.50334,1.14057,0.000444448,0.000444448,0.000444448
70,117.399,0.59116,0.47703,1.16151,1,0.98578,0.995,0.85807,0.68138,0.50334,1.14057,0.000437322,0.000437322,0.000437322
71,118.895,0.56285,0.46567,1.10562,1,0.98578,0.995,0.85807,0.68138,0.50334,1.14057,0.0004298,0.0004298,0.0004298
72,120.542,0.68978,0.5154,1.21972,0.95799,1,0.99389,0.84272,0.68431,0.49085,1.13201,0.000421882,0.000421882,0.000421882
73,122.106,0.64971,0.48845,1.09161,0.95799,1,0.99389,0.84272,0.68431,0.49085,1.13201,0.000413568,0.000413568,0.000413568
74,123.678,0.63798,0.48661,1.09596,0.95799,1,0.99389,0.84272,0.68431,0.49085,1.13201,0.000404858,0.000404858,0.000404858
75,125.337,0.67341,0.5141,1.11527,0.95847,1,0.99389,0.83912,0.70179,0.4894,1.12936,0.000395752,0.000395752,0.000395752
76,126.824,0.60319,0.4923,1.15438,0.95847,1,0.99389,0.83912,0.70179,0.4894,1.12936,0.00038625,0.00038625,0.00038625
77,128.379,0.67206,0.53714,1.16125,0.95847,1,0.99389,0.83912,0.70179,0.4894,1.12936,0.000376352,0.000376352,0.000376352
78,130.03,0.66031,0.48686,1.13159,0.95764,1,0.99389,0.83604,0.75915,0.50127,1.13118,0.000366058,0.000366058,0.000366058
79,131.567,0.62226,0.48698,1.0826,0.95764,1,0.99389,0.83604,0.75915,0.50127,1.13118,0.000355368,0.000355368,0.000355368
80,133.181,0.65663,0.48978,1.13005,0.95764,1,0.99389,0.83604,0.75915,0.50127,1.13118,0.000344282,0.000344282,0.000344282
81,134.786,0.62912,0.49728,1.0952,0.95739,1,0.99389,0.81398,0.82081,0.50616,1.13761,0.0003328,0.0003328,0.0003328
82,136.346,0.6181,0.4762,1.11909,0.95739,1,0.99389,0.81398,0.82081,0.50616,1.13761,0.000320922,0.000320922,0.000320922
